	0	1	2	3
86	0.178341	-0.983904	-0.0112561	0.129387
87	-0.0137057	-0.999887	0.00617998	0.0156065
89	-0.999959	-0.00226387	-0.00881663	0.08083
92	-0.0201835	-0.999672	0.0157439	0.0771864
93	0.178341	-0.983904	-0.0112561	0.129387
94	-0.0137057	-0.999887	0.00617998	0.0156065
96	-0.999959	-0.00226387	-0.00881663	0.08083
99	-0.0201835	-0.999672	0.0157439	0.0771864
100	0.178341	-0.983904	-0.0112561	0.129387
101	-0.0137057	-0.999887	0.00617998	0.0156065
103	-0.999959	-0.00226387	-0.00881663	0.08083
106	-0.0201835	-0.999672	0.0157439	0.0771864
107	0.178341	-0.983904	-0.0112561	0.129387
108	-0.0137057	-0.999887	0.00617998	0.0156065
110	-0.999959	-0.00226387	-0.00881663	0.08083
113	-0.0201835	-0.999672	0.0157439	0.0771864
114	0.178341	-0.983904	-0.0112561	0.129387
115	-0.0137057	-0.999887	0.00617998	0.0156065
117	-0.999959	-0.00226387	-0.00881663	0.08083
120	-0.0201835	-0.999672	0.0157439	0.0771864
121	0.178341	-0.983904	-0.0112561	0.129387
122	-0.0137057	-0.999887	0.00617998	0.0156065
124	-0.999959	-0.00226387	-0.00881663	0.08083
127	-0.0201835	-0.999672	0.0157439	0.0771864
128	0.178341	-0.983904	-0.0112561	0.129387
129	-0.0137057	-0.999887	0.00617998	0.0156065
131	-0.999959	-0.00226387	-0.00881663	0.08083
134	-0.0201835	-0.999672	0.0157439	0.0771864
135	0.178341	-0.983904	-0.0112561	0.129387
136	-0.0137057	-0.999887	0.00617998	0.0156065
138	-0.999959	-0.00226387	-0.00881663	0.08083
141	-0.0201835	-0.999672	0.0157439	0.0771864
142	0.178341	-0.983904	-0.0112561	0.129387
143	-0.0137057	-0.999887	0.00617998	0.0156065
145	-0.999959	-0.00226387	-0.00881663	0.08083
148	-0.0201835	-0.999672	0.0157439	0.0771864
149	0.178341	-0.983904	-0.0112561	0.129387
150	-0.0137057	-0.999887	0.00617998	0.0156065
152	-0.999959	-0.00226387	-0.00881663	0.08083
155	-0.0201835	-0.999672	0.0157439	0.0771864
156	0.178341	-0.983904	-0.0112561	0.129387
157	-0.0137057	-0.999887	0.00617998	0.0156065
159	-0.999959	-0.00226387	-0.00881663	0.08083
162	-0.0201835	-0.999672	0.0157439	0.0771864
163	0.178341	-0.983904	-0.0112561	0.129387
164	-0.0137057	-0.999887	0.00617998	0.0156065
166	-0.999959	-0.00226387	-0.00881663	0.08083
169	-0.0201835	-0.999672	0.0157439	0.0771864
170	0.178341	-0.983904	-0.0112561	0.129387
171	-0.0137057	-0.999887	0.00617998	0.0156065
173	-0.999959	-0.00226387	-0.00881663	0.08083
176	-0.0201835	-0.999672	0.0157439	0.0771864
177	0.178341	-0.983904	-0.0112561	0.129387
178	-0.0137057	-0.999887	0.00617998	0.0156065
180	-0.999959	-0.00226387	-0.00881663	0.08083
183	-0.0201835	-0.999672	0.0157439	0.0771864
184	0.178341	-0.983904	-0.0112561	0.129387
185	-0.0137057	-0.999887	0.00617998	0.0156065
187	-0.999959	-0.00226387	-0.00881663	0.08083
190	-0.0201835	-0.999672	0.0157439	0.0771864
191	0.178341	-0.983904	-0.0112561	0.129387
192	-0.0137057	-0.999887	0.00617998	0.0156065
194	-0.999959	-0.00226387	-0.00881663	0.08083
